LONGITUDE,LATITUDE,ALT_GEOM,ALT_NORMAL,SIGMALT_RN,NUM_GEOPOTENCIAL,DATUM_ALT,FONT_ALT,GRAV_OBS
-35.87502778,-6.37568889,"219,810",,,,,,"978.042,33"
-35.79182222,-6.375425,"203,100",,,,,,"978.049,13"
-35.61119444,-6.38536111,,"149,0119",,"1.457,446",Imbituba,Nivelamento Geométrico,"978.072,61"
-35.54261944,-6.37768333,"99,490",,,,,,"978.085,87"
-35.45888056,-6.37569722,"92,090",,,,,,"978.085,22"
-35.37587936,-6.34873281,,"59,1548",,"578,585",Imbituba,Nivelamento Geométrico,"978.090,44"
-35.37539722,-6.45425556,"71,560",,,,,,"978.085,86"
-35.16327778,-6.35291667,"58,910",,,,,,"978.098,60"
-35.11844444,-6.43127778,"58,300",,,,,,"978.098,56"
-35.88368611,-6.45789444,"234,550",,,,,,"978.038,42"
-35.87109722,-6.54416389,"553,000",,,,,,"977.977,90"
-35.87391667,-6.62120556,"520,250",,,,,,"977.980,01"
-35.79208889,-6.45331111,"478,970",,,,,,"977.990,13"
-35.79213333,-6.54281667,"544,440",,,,,,"977.983,39"
-35.71683889,-6.46009444,"349,440",,,,,,"978.015,91"
-35.11238889,-6.48113889,"66,650",,,,,,"978.100,10"
-35.11483333,-6.52816667,"84,050",,,,,,"978.096,54"
-35.11955556,-6.65547222,"34,710",,,,,,"978.113,52"
-35.54223889,-6.45884444,"135,010",,,,,,"978.071,54"
-35.48884722,-6.85519444,,"97,6475","0,089","955,082",Imbituba,Nivelamento Geométrico,"978.074,39"
-35.05583333,-7.03333333,,"134,9559","0,090","1.319,989",Imbituba,Nivelamento Geométrico,"978.122,88"
-35.06083333,-7.01166667,,"47,3777","0,090","463,402",Imbituba,Nivelamento Geométrico,"978.140,22"
-35.11914167,-6.90326944,"91,250",,,,,,"978.115,01"
-35.13391111,-6.86056111,"23,580",,,,,,"978.125,92"
-35.12527778,-6.83888889,,"35,6362","0,089","348,558",Imbituba,Nivelamento Geométrico,"978.121,50"
-35.07722222,-6.81,,"6,1497","0,089","60,150",Imbituba,Nivelamento Geométrico,"978.133,55"
-35.48683333,-6.85810278,,"87,1018","0,089","851,937",Imbituba,Nivelamento Geométrico,"978.076,92"
-35.19783333,-7.00583333,,,,,,,"978.124,58"
-35.17681667,-6.96417778,"114,260",,,,,,"978.111,57"
-35.17238889,-6.91625,,,,,,,"978.109,73"
-34.95075556,-7.11611111,"13,010",,,,,,"978.144,80"
-34.92888889,-7.12611111,,"13,0325","0,090","127,472",Imbituba,Nivelamento Geométrico,"978.139,42"
-34.89055556,-7.1425,,"51,7044","0,090","505,723",Imbituba,Nivelamento Geométrico,"978.133,73"
-34.85055556,-7.11944444,,"43,0629","0,090","421,201",Imbituba,Nivelamento Geométrico,"978.138,14"
-34.85110531,-7.14094271,"38,730",,,,,,"978.139,12"
-35.23152778,-7.09622222,,,,,,,"978.114,86"
-35.22717222,-7.05368611,"124,680",,,,,,"978.110,69"
-35.02399167,-7.05833889,"123,890",,,,,,"978.127,92"
-35.03053611,-7.16736667,"79,550",,,,,,"978.135,64"
-34.99305556,-7.1425,,"70,6649","0,092","691,175",Imbituba,Nivelamento Geométrico,"978.134,31"
-34.98466111,-7.08063889,"63,280",,,,,,"978.143,01"
-35.23777778,-7.14666667,,"55,9980","0,089","547,719",Imbituba,Nivelamento Geométrico,"978.130,67"
-35.8683,-6.70602222,"410,750",,,,,,"978.003,83"
-35.95953056,-6.70446389,"408,720",,,,,,"978.003,70"
-35.9564,-6.62089722,"530,680",,,,,,"977.979,37"
-35.96094722,-6.541775,"420,090",,,,,,"978.004,18"
-35.96302778,-6.39219444,,"239,5626",,"2.343,065",Imbituba,Nivelamento Geométrico,"978.037,20"
-35.88131667,-7.21834722,"551,000",,,,,,"977.984,31"
-34.94710278,-7.32479444,"115,980",,,,,,"978.120,61"
-34.93753611,-7.26923333,"66,760",,,,,,"978.129,52"
-34.83946987,-7.26735114,"61,993",,,,,,"978.144,18"
-34.90643889,-7.26144444,,"112,4989",,"1.100,349",Imbituba,Nivelamento Geométrico,"978.123,16"
-34.91328889,-7.218675,"10,180",,,,,,"978.141,63"
-35.07285278,-7.197775,"88,470",,,,,,"978.132,96"
-34.90138889,-7.18277778,,"32,0276","0,090","313,265",Imbituba,Nivelamento Geométrico,"978.137,96"
-36.01610833,-7.40506667,"401,760",,,,,,"978.031,66"
-35.98773611,-7.39544167,"430,440",,,,,,"978.027,07"
-35.96052778,-7.38619444,,"435,1921","0,091","4.256,400",Imbituba,Nivelamento Geométrico,"978.026,17"
-35.93506944,-7.37640278,,"429,8795","0,091","4.204,443",Imbituba,Nivelamento Geométrico,"978.024,54"
-35.91044167,-7.36894167,"436,950",,,,,,"978.021,36"
-35.89925,-7.36208333,,"450,4861","0,091","4.405,970",Imbituba,Nivelamento Geométrico,"978.018,34"
-36.04043611,-7.28998611,"451,730",,,,,,"978.006,45"
-35.15630556,-7.20294444,,,,,,,"978.126,49"
-35.11372222,-7.20272222,"96,780",,,,,,"978.130,46"
-35.23111111,-7.19138889,,"83,4691","0,089","816,412",Imbituba,Nivelamento Geométrico,"978.124,07"
-35.19803333,-7.18498333,"54,570",,,,,,"978.132,35"
-34.98958056,-7.51368056,"125,250",,,,,,"978.123,02"
-34.95033333,-7.47972222,,,,,,,"978.135,56"
-34.92171667,-7.46437778,"18,310",,,,,,"978.147,74"
-34.9125,-7.43388889,,"52,6567","0,103","515,041",Imbituba,Nivelamento Geométrico,"978.141,28"
-34.93233611,-7.37818889,"92,740",,,,,,"978.130,94"
-35.70570833,-7.54327778,"331,100",,,,,,"978.033,78"
-35.62496944,-7.54147778,"256,170",,,,,,"978.051,97"
-35.79003889,-7.54117222,"406,580",,,,,,"978.020,12"
-34.87359722,-7.70156944,"-0,150",,,,,,"978.164,56"
-34.890275,-7.70130556,"2,960",,,,,,"978.162,75"
-34.90644167,-7.70108333,"28,120",,,,,,"978.153,96"
-34.83860278,-7.70086111,"2,490",,,,,,"978.165,09"
-34.9231,-7.70073611,"51,910",,,,,,"978.145,21"
-34.85173611,-7.70050556,"-1,640",,,,,,"978.165,25"
-34.92206944,-7.69975278,"50,010",,,,,,"978.146,04"
-34.85926111,-7.686175,"-2,980",,,,,,"978.165,44"
-34.88993611,-7.68428056,"5,810",,,,,,"978.161,49"
-34.87043611,-7.68419722,"-2,120",,,,,,"978.164,10"
-34.90765278,-7.68283056,"14,120",,,,,,"978.157,66"
-34.87866111,-7.67316389,"-0,350",,,,,,"978.163,59"
-34.905475,-7.66824722,"9,210",,,,,,"978.160,13"
-34.85436389,-7.66630278,"-0,370",,,,,,"978.164,49"
-34.891225,-7.66594444,"0,460",,,,,,"978.162,53"
-34.83743333,-7.66378333,"-3,240",,,,,,"978.164,65"
-34.87796389,-7.65134444,"15,250",,,,,,"978.160,68"
-34.90643333,-7.65096111,"37,700",,,,,,"978.152,85"
-34.85252778,-7.650725,"-1,310",,,,,,"978.164,61"
-34.83628333,-7.65040833,"-3,370",,,,,,"978.165,92"
-34.88972222,-7.65038056,"54,100",,,,,,"978.151,30"
-34.82335278,-7.65015278,"-1,800",,,,,,"978.166,26"
-34.83964722,-7.63736389,"-3,890",,,,,,"978.167,36"
-34.892275,-7.63545278,"6,880",,,,,,"978.160,20"
-34.87103611,-7.63526389,"0,300",,,,,,"978.162,57"
-34.90784167,-7.63518056,"62,750",,,,,,"978.146,60"
-34.85564722,-7.63362778,"2,220",,,,,,"978.164,89"
-34.82474167,-7.63246111,"38,970",,,,,,"978.158,69"
-34.841225,-7.61723333,"15,820",,,,,,"978.163,05"
-34.85781944,-7.61654167,"-4,420",,,,,,"978.165,51"
-34.82345,-7.61620556,"32,160",,,,,,"978.160,31"
-34.87948611,-7.61439444,"-1,610",,,,,,"978.163,26"
-34.89105833,-7.61308889,"0,940",,,,,,"978.160,71"
-34.86014167,-7.60020833,"26,100",,,,,,"978.158,34"
-34.84001667,-7.59961111,"50,880",,,,,,"978.154,09"
-34.97623889,-7.60874722,"82,400",,,,,,"978.138,17"
-34.955275,-7.70057778,"57,260",,,,,,"978.142,63"
-34.94516389,-7.65319444,"81,240",,,,,,"978.142,80"
-34.940625,-7.70089722,"7,510",,,,,,"978.152,45"
-34.92331389,-7.65394444,"8,580",,,,,,"978.158,30"
-34.92416111,-7.66775556,"73,950",,,,,,"978.144,61"
-34.92373333,-7.68386667,"42,500",,,,,,"978.149,03"
-35.20876944,-7.70856944,"75,650",,,,,,"978.120,78"
-35.29203056,-7.70833611,"126,970",,,,,,"978.099,36"
-35.37601944,-7.707725,"212,580",,,,,,"978.074,30"
-35.20446944,-7.62596944,"98,320",,,,,,"978.114,54"
-35.28913611,-7.62552778,"117,640",,,,,,"978.100,49"
-35.37567778,-7.625225,"134,210",,,,,,"978.088,62"
-35.37348056,-7.54959444,"325,910",,,,,,"978.044,88"
-35.20841389,-7.54174722,"69,770",,,,,,"978.117,64"
-35.28916389,-7.53666111,"126,770",,,,,,"978.091,02"
-36.060275,-7.79611667,"453,440",,,,,,"977.998,90"
