LONGITUDE,LATITUDE,INSTITUICAO,ALT_ORTOMETRICA,GRAV_OBS,GRAV_ARLIVRE,GRAV_BOUGUER,FONTE
-62.15506546,-11.18613258,SGB,238.14,978167.79,12.65,-14,SGB
-62.15510975,-11.19556744,SGB,232.07,978167.09,9.74,-16.23,SGB
-62.15495986,-11.20555938,SGB,214.83,978168.31,5.3,-18.75,SGB
-62.15511835,-11.21485771,SGB,240.39,978163.82,8.36,-18.54,SGB
-62.16160418,-11.2214622,SGB,218.33,978165.31,2.81,-21.62,SGB
-62.16987816,-11.22397039,SGB,195.5,978170,0.37,-21.51,SGB
-62.17759631,-11.2262319,SGB,189.93,978170.73,-0.7,-21.96,SGB
-62.18610075,-11.23045587,SGB,183.98,978171.53,-1.88,-22.47,SGB
-62.19317563,-11.23746578,SGB,182.03,978170.48,-3.78,-24.15,SGB
-62.20068637,-11.24013645,SGB,180.46,978169.67,-5.17,-25.37,SGB
-62.20808247,-11.24543674,SGB,179.37,978169.31,-6.06,-26.14,SGB
-62.21504395,-11.25540671,SGB,202.72,978165.49,-3.02,-25.71,SGB
-62.22092679,-11.26232951,SGB,201.98,978166.81,-2.18,-24.78,SGB
-62.22667047,-11.26914563,SGB,201.15,978168.38,-1.11,-23.62,SGB
-62.23258357,-11.27607283,SGB,190.34,978172.54,-0.53,-21.83,SGB
-62.23283055,-11.2845141,SGB,186.22,978176.12,1.49,-19.35,SGB
-62.23471828,-11.29352576,SGB,179.91,978179.75,2.85,-17.29,SGB
-62.24225269,-11.30114418,SGB,182,978182.05,5.52,-14.85,SGB
-62.24872816,-11.30782971,SGB,198.35,978180.79,9.07,-13.13,SGB
-62.25473162,-11.31403057,SGB,193.73,978184.36,11,-10.69,SGB
-62.26123016,-11.320692,SGB,182.28,978188.91,11.77,-8.63,SGB
-62.26721488,-11.32680445,SGB,185.02,978190.55,14.04,-6.67,SGB
-62.27365143,-11.33330104,SGB,194.77,978191.28,17.54,-4.26,SGB
-62.27999291,-11.33999356,SGB,185.59,978196.01,19.21,-1.57,SGB
-62.2863639,-11.34633244,SGB,198.25,978197.17,24.05,1.86,SGB
-62.29283661,-11.3523968,SGB,189.31,978201.81,25.71,4.53,SGB
-62.29881882,-11.35931088,SGB,204.86,978200.56,29.02,6.09,SGB
-62.30663676,-11.36733587,SGB,192.3,978204.63,28.92,7.4,SGB
-62.31164714,-11.37266148,SGB,195.03,978204.91,29.86,8.03,SGB
-62.31812919,-11.37929341,SGB,207.75,978203.75,32.38,9.13,SGB
-62.32526993,-11.38647284,SGB,211.75,978204.66,34.27,10.57,SGB
-62.33130794,-11.39276055,SGB,209.96,978206.07,34.9,11.4,SGB
-62.33718775,-11.39901952,SGB,202.2,978208.49,34.7,12.07,SGB
-62.34317755,-11.40627754,SGB,215.82,978206.85,37,12.85,SGB
